"No.","Time","Source","Destination","Protocol","Length","Info"
"96","31.143728000","6.3","host","USB","128","URB_INTERRUPT in"
"97","31.143762000","host","6.3","USB","64","URB_INTERRUPT in"
"98","31.354596000","host","6.4","USB","128","URB_INTERRUPT out"
"99","31.356706000","6.4","host","USB","64","URB_INTERRUPT out"
"100","31.364794000","host","6.4","USB","128","URB_INTERRUPT out"
"101","31.366715000","6.4","host","USB","64","URB_INTERRUPT out"
"102","31.369700000","6.3","host","USB","128","URB_INTERRUPT in"
"103","31.369747000","host","6.3","USB","64","URB_INTERRUPT in"
"104","31.371764000","6.3","host","USB","64","URB_INTERRUPT in"
"105","31.371781000","host","6.3","USB","64","URB_INTERRUPT in"
"106","31.382858000","host","6.4","USB","128","URB_INTERRUPT out"
"107","31.384710000","6.4","host","USB","64","URB_INTERRUPT out"
"108","31.385699000","6.3","host","USB","128","URB_INTERRUPT in"
"109","31.385738000","host","6.3","USB","64","URB_INTERRUPT in"
"110","31.595779000","host","6.4","USB","128","URB_INTERRUPT out"
"111","31.596717000","6.4","host","USB","64","URB_INTERRUPT out"
"112","31.601819000","host","6.4","USB","128","URB_INTERRUPT out"
"113","31.602730000","6.4","host","USB","64","URB_INTERRUPT out"
"114","31.605767000","6.3","host","USB","128","URB_INTERRUPT in"
"115","31.605814000","host","6.3","USB","64","URB_INTERRUPT in"
"116","31.607702000","6.3","host","USB","64","URB_INTERRUPT in"
"117","31.607714000","host","6.3","USB","64","URB_INTERRUPT in"
"118","31.613952000","host","6.4","USB","128","URB_INTERRUPT out"
"119","31.614766000","6.4","host","USB","64","URB_INTERRUPT out"
"120","31.615737000","6.3","host","USB","128","URB_INTERRUPT in"
"121","31.615786000","host","6.3","USB","64","URB_INTERRUPT in"
"122","31.828213000","host","6.4","USB","128","URB_INTERRUPT out"
"123","31.830759000","6.4","host","USB","64","URB_INTERRUPT out"
"124","31.835777000","host","6.4","USB","128","URB_INTERRUPT out"
"125","31.836715000","6.4","host","USB","64","URB_INTERRUPT out"
"126","33.191753000","6.3","host","USB","128","URB_INTERRUPT in"
"127","33.191802000","host","6.3","USB","64","URB_INTERRUPT in"
"128","33.193687000","6.3","host","USB","128","URB_INTERRUPT in"
"129","33.193719000","host","6.3","USB","64","URB_INTERRUPT in"
"130","33.195701000","6.3","host","USB","128","URB_INTERRUPT in"
"131","33.195738000","host","6.3","USB","64","URB_INTERRUPT in"
"132","33.197691000","6.3","host","USB","128","URB_INTERRUPT in"
"133","33.197734000","host","6.3","USB","64","URB_INTERRUPT in"
"134","33.199725000","6.3","host","USB","128","URB_INTERRUPT in"
"135","33.199769000","host","6.3","USB","64","URB_INTERRUPT in"
"136","33.201685000","6.3","host","USB","128","URB_INTERRUPT in"
"137","33.201722000","host","6.3","USB","64","URB_INTERRUPT in"
"138","33.203690000","6.3","host","USB","128","URB_INTERRUPT in"
"139","33.203734000","host","6.3","USB","64","URB_INTERRUPT in"
"140","33.205693000","6.3","host","USB","128","URB_INTERRUPT in"
"141","33.205741000","host","6.3","USB","64","URB_INTERRUPT in"
"142","33.207692000","6.3","host","USB","128","URB_INTERRUPT in"
"143","33.207734000","host","6.3","USB","64","URB_INTERRUPT in"
"144","33.209692000","6.3","host","USB","64","URB_INTERRUPT in"
"145","33.209702000","host","6.3","USB","64","URB_INTERRUPT in"
"146","33.548586000","6.3","host","USB","64","URB_INTERRUPT in"
